response,theme,group
Class 1: E,Online Accessibility,Class 1
Greater availability for online students,Online Accessibility,Class 1
Class 2: A,Accessibility,Class 2
Easily obtained and accessible information. ,Accessibility,Class 2
Class 3: S,Information Accessibility,Class 3
Easier access to sources or relevant information that is not as easy to find ,Information Accessibility,Class 3
Class 4: I,Basic Information,Class 4
"if they work, helping give examples or providing basic info",Basic Information,Class 4
Class 5: E,Concise Answers,Class 5
It gives students concise answers that may have gone unanswered otherwise.,Concise Answers,Class 5
Class 6: N,In-depth learning,Class 6
Learning things in-depth,In-depth learning,Class 6
Class 7: S,Academic Support,Class 7
Help answers students questions about school work ,Academic Support,Class 7
Class 8: O,Educational Tool,Class 8
It is an ultimately helpful tool for educational purposes. You have examples at your fingertips to do possibly anything.,Educational Tool,Class 8
Class 9: S,Study Tool,Class 9
Access to knowledge as a study tool,Study Tool,Class 9
Class 10: E,Accessibility Benefits,Class 10
Access and Availability are two key benefits.   These systems can operate and be accessible around the clock and at any location that is accessible to the web (including a portable smart device),Accessibility Benefits,Class 10
Class 11: N,Supplementary Details,Class 11
Expansion info,Supplementary Details,Class 11
Class 12: E,Succinct Responses,Class 12
Immediate and concise answers.,Succinct Responses,Class 12
Class 13: E,Information Source,Class 13
They are a great source to find information,Information Source,Class 13
Class 14: O,Access to Information,Class 14
access to information to learn about a topic,Access to Information,Class 14
Class 15: O,Research Opportunities,Class 15
Research opportunities/ Information Hub ,Research Opportunities,Class 15
Class 16: I,Information Summaries,Class 16
It can give quick summaries of important topics. ,Information Summaries,Class 16
Class 17: N,New information,Class 17
Give new information you dont know,New information,Class 17
Class 18: A,Summarization Capabilities,Class 18
Chatbots are great for summarizing material. ,Summarization Capabilities,Class 18
Class 19: E,Instant Feedback,Class 19
"Providing instant feedback for questions about certain concepts, theorems, or models and possibly referring students to information/websites that have more credibility. ",Instant Feedback,Class 19
Class 20: E,AI in Education,Class 20
"I absolutely see benefits and opportunities using AI chatbots in educational settings! You can cater a chat bot to help you acquire more knowledge on a specific topic, in a field you are struggling in.",AI in Education,Class 20
Class 21: E,Increased Accessibility,Class 21
Access to resources/info some might have otherwise not have,Increased Accessibility,Class 21
Class 22: E,Educational Tool,Class 22
"If used correctly, could be a great learning resource. If you ask an AI chatbot for assistance in maybe defining a term then it can be a useful tool. ",Educational Tool,Class 22
Class 23: N,Test Information,Class 23
Information,Test Information,Class 23
Class 24: T,AI Assistance,Class 24
